SF	Word	Segmentation	Analysis	Freq
gɑzeteʤie	gazeteciye	gɑzeteʤi-e	Stem-dat	16
gɑzeteleriin	gazetelerinin	gɑzete-ler-i-in	Stem-pl-p3s-gen	16
geʧebilen	geçebilen	geʧ-ebil-e-n	Stem-abil-cv:ye-p2s	16
geʧenin	geçenin	geʧ-e-n-in	Stem-cv:ye-p2s-gen	16
geʧmiʃler	geçmişler	geʧmiʃ-ler	Stem-pl	16
geʤekondulɑrɯn	gecekonduların	geʤekondu-lɑr-ɯn	Stem-pl-gen	16
geʤikmeleri	gecikmeleri	geʤik-me-ler-i	Stem-vn:inf-pl-p3s	16
geʤikmesiz	gecikmesiz	geʤik-me-siz	Stem-vn:inf-siz	16
gelenlerden	gelenlerden	gel-en-ler-den	Stem-part:pres-pl-abl	16
geliʃebilmei	gelişebilmesi	geliʃ-ebil-me-i	Stem-abil-vn:inf-p3s	16
geliʃiin	gelişinin	gel-iʃ-i-in	Stem-vn:yis-p3s-gen	16
gelmeten	gelmekten	gel-me-ten	Stem-vn:inf-abl	16
generɑllerin	generallerin	generɑl-ler-in	Stem-pl-gen	16
gensoruun	gensorunun	gensoru-un	Stem-gen	16
gerekʧelere	gerekçelere	gerekʧe-ler-e	Stem-pl-dat	16
gerekmei	gerekmesi	gerek-me-i	Stem-vn:inf-p3s	16
gereksinimlernizi	gereksinimlerinizi	gereksinim-ler-niz-i	Stem-pl-p2p-acc	16
gerilemiʃ	gerilemiş	geri-le-miʃ	Stem-la-evid	16
geriler	geriler	geri-ler	Stem-pl	16
gerilime	gerilime	gerilim-e	Stem-dat	16
getirmemei	getirmemesi	getir-me-me-i	Stem-neg-vn:inf-p3s	16
gezgini	gezgini	gezgin-i	Stem-p3s	16
giriʃe	girişe	gir-iʃ-e	Stem-vn:yis-dat	16
girmeme	girmemek	gir-me-me	Stem-neg-vn:inf	16
gitmeniz	gitmeniz	git-me-niz	Stem-vn:inf-p2p	16
gofret	gofret	gofret	Stem	16
grevin	grevin	grev-in	Stem-gen	16
grejfurt	greyfurt	grejfurt	Stem	16
gururlu	gururlu	gururlu	Stem	16
hyrrijete	hürriyete	hyrrijet-e	Stem-dat	16
hɑdisei	hadiseyi	hɑdise-i	Stem-acc	16
hɑfifler	hafifler	hɑfif-ler	Stem-pl	16
hɑmɑl	hamal	hɑmɑl	Stem	16
hɑmburger	hamburger	hɑmburger	Stem	16
hɑmleleri	hamleleri	hɑmle-ler-i	Stem-pl-p3s	16
hɑnɯmlɑrɯɯn	hanımlarının	hɑnɯm-lɑr-ɯ-ɯn	Stem-pl-p3s-gen	16
hɑnɯmlɑrɑ	hanımlara	hɑnɯm-lɑr-ɑ	Stem-pl-dat	16
hɑndikɑp	handikap	hɑndikɑp	Stem	16
hɑnlɑrɯ	hanları	hɑn-lɑr-ɯ	Stem-pl-p3s	16
hɑrʧlɑrdɑn	harçlardan	hɑrʧ-lɑr-dɑn	Stem-pl-abl	16
hɑrflerden	harflerden	hɑrf-ler-den	Stem-pl-abl	16
hɑrikɑlɑr	harikalar	hɑrikɑ-lɑr	Stem-pl	16
hɑsɑttɑ	hasatta	hɑsɑt-tɑ	Stem-loc	16
hɑssɑsijete	hassasiyete	hɑssɑsijet-e	Stem-dat	16
hɑstɑhɑnei	hastahanesi	hɑstɑhɑne-i	Stem-p3s	16
hɑstɑnei	hastaneyi	hɑstɑne-i	Stem-acc	16
hɑvɑɑlɑnɯɯn	havaalanının	hɑvɑɑlɑnɯ-ɯn	Stem-gen	16
hɑvɑlɑrɯ	havaları	hɑvɑ-lɑr-ɯ	Stem-pl-p3s	16
hɑjɑlet	hayalet	hɑjɑlet	Stem	16
hɑjɑtmɯzdɑki	hayatımızdaki	hɑjɑt-mɯz-dɑ-ki	Stem-p1p-loc-ki	16
hɑjɑtlɑr	hayatlar	hɑjɑt-lɑr	Stem-pl	16
hɑjrɑnlɑrɯ	hayranları	hɑjrɑn-lɑr-ɯ	Stem-pl-p3s	16
hedefm	hedefim	hedef-m	Stem-p1s	16
hedeflerniz	hedefleriniz	hedef-ler-niz	Stem-pl-p2p	16
hedeflernize	hedeflerinize	hedef-ler-niz-e	Stem-pl-p2p-dat	16
hedefleerek	hedefleyerek	hedef-le-erek	Stem-la-cv:erek	16
hesɑplɑmɑɑ	hesaplamaya	hesɑp-lɑ-mɑ-ɑ	Stem-la-neg-cv:ye	16
hesɑplɑnmɑ	hesaplanma	hesɑp-lɑn-mɑ	Stem-lan-vn:inf	16
hejelɑnlɑr	heyelanlar	hejelɑn-lɑr	Stem-pl	16
hejetlerin	heyetlerin	hejet-ler-in	Stem-pl-gen	16
hidrobijoloʒi	hidrobiyoloji	hidrobijoloʒi	Stem	16
hidrofor	hidrofor	hidrofor	Stem	16
hiperɑktif	hiperaktif	hiperɑktif	Stem	16
hitɑbet	hitabet	hitɑbet	Stem	16
holy	holü	hol-y	Stem-p3s	16
hortumlɑrɯ	hortumları	hortum-lɑr-ɯ	Stem-pl-p3s	16
iʧerikler	içerikler	iʧerik-ler	Stem-pl	16
iʧkilerin	içkilerin	iʧki-ler-in	Stem-pl-gen	16
iʧmeenlere	içmeyenlere	iʧ-me-en-ler-e	Stem-neg-part:pres-pl-dat	16
iʃɑretleip	işaretleyip	iʃɑret-le-ip	Stem-la-cv:ip	16
iʃeme	işeme	iʃe-me	Stem-vn:inf	16
iʃlemeleri	işlemeleri	iʃle-me-ler-i	Stem-vn:inf-pl-p3s	16
iʃlemnizi	işleminizi	iʃlem-niz-i	Stem-p2p-acc	16
iʤɑzet	icazet	iʤɑzet	Stem	16
iflɑsɑ	iflasa	iflɑs-ɑ	Stem-dat	16
ihrɑʤɑtʧɯlɑrɯn	ihracatçıların	ihrɑʤɑt-ʧɯ-lɑr-ɯn	Stem-ci-pl-gen	16
ihtilɑflɑr	ihtilaflar	ihtilɑf-lɑr	Stem-pl	16
ihtilɑflɑrdɑ	ihtilaflarda	ihtilɑf-lɑr-dɑ	Stem-pl-loc	16
iktidɑrdɑki	iktidardaki	iktidɑr-dɑ-ki	Stem-loc-ki	16
iktifɑ	iktifa	iktifɑ	Stem	16
ilʧeden	ilçeden	ilʧe-den	Stem-abl	16
ilɑʧlɯ	ilaçlı	ilɑʧ-lɯ	Stem-li	16
ilginiz	ilginiz	ilgi-niz	Stem-p2p	16
ilginize	ilginize	ilgi-niz-e	Stem-p2p-dat	16
ilhɑn	ilhan	ilhɑn	Stem	16
ilkler	ilkler	ilk-ler	Stem-pl	16
imɑʒɯn	imajın	imɑʒ-ɯn	Stem-gen	16
imɑlɑtɑ	imalata	imɑlɑt-ɑ	Stem-dat	16
imɑlɑttɑ	imalatta	imɑlɑt-tɑ	Stem-loc	16
imdɑt	imdat	imdɑt	Stem	16
imeʤe	imece	imeʤe	Stem	16
imkɑndɑn	imkandan	imkɑn-dɑn	Stem-abl	16
imkɑnsɯzlɯk	imkansızlık	imkɑn-sɯz-lɯk	Stem-siz-lik	16
impɑrɑtorluktɑn	imparatorluktan	impɑrɑtor-luk-tɑn	Stem-lik-abl	16
inɑnmɑtɑ	inanmakta	inɑn-mɑ-tɑ	Stem-vn:inf-loc	16
insɑfsɯz	insafsız	insɑf-sɯz	Stem-siz	16
istɑsjondɑn	istasyondan	istɑsjon-dɑn	Stem-abl	16
isteene	isteyene	iste-e-n-e	Stem-cv:ye-p2s-dat	16
istikbɑli	istikbali	istikbɑl-i	Stem-p3s	16
ithɑlɑttɑn	ithalattan	ithɑlɑt-tɑn	Stem-abl	16
itip	itip	it-ip	Stem-cv:ip	16
itirɑzɑ	itiraza	itirɑz-ɑ	Stem-dat	16
ijileʃmeler	iyileşmeler	iji-leʃ-me-ler	Stem-las-vn:inf-pl	16
ijileʃmei	iyileşmeyi	iji-leʃ-me-i	Stem-las-vn:inf-acc	16
ijonlɑʃmɑ	iyonlaşma	ijon-lɑʃ-mɑ	Stem-las-vn:inf	16
ijonlɑr	iyonlar	ijon-lɑr	Stem-pl	16
iziin	izinin	iz-i-in	Stem-p3s-gen	16
izlemein	izlemenin	izle-me-in	Stem-vn:inf-gen	16
izlenimleri	izlenimleri	izlenim-ler-i	Stem-pl-p3s	16
ʒɑguɑr	jaguar	ʒɑguɑr	Stem	16
kɯʃlɑlɯ	kışlalı	kɯʃlɑ-lɯ	Stem-li	16
kɯlɯʧtɑn	kılıçtan	kɯlɯʧ-tɑn	Stem-abl	16
kɯrksekiz	kırksekiz	kɯrksekiz	Stem	16
kɯtɑɯn	kıtanın	kɯtɑ-ɯn	Stem-gen	16
kɯvɑmɯ	kıvamı	kɯvɑm-ɯ	Stem-p3s	16
kɯjɑfetlerin	kıyafetlerin	kɯjɑfet-ler-in	Stem-pl-gen	16
kɯjɑmete	kıyamete	kɯjɑmet-e	Stem-dat	16
kɯzkɑrdeʃi	kızkardeşi	kɯzkɑrdeʃ-i	Stem-p3s	16
kɯzlɯk	kızlık	kɯz-lɯk	Stem-lik	16
køke	köke	køk-e	Stem-dat	16
køsele	kösele	køsele	Stem	16
køtyyn	kötünün	køty-yn	Stem-gen	16
køjmyz	köyümüz	køj-myz	Stem-p1p	16
kylyyn	külünün	kyl-y-yn	Stem-p3s-gen	16
kylɑh	külah	kylɑh	Stem	16
kymede	kümede	kyme-de	Stem-loc	16
kyrei	küresi	kyre-i	Stem-p3s	16
kɑʧɯrmɑmɑ	kaçırmamak	kɑʧɯr-mɑ-mɑ	Stem-neg-vn:inf	16
kɑʧɯrmɑɑ	kaçırmaya	kɑʧɯrmɑ-ɑ	Stem-dat	16
kɑʧɑklɑr	kaçaklar	kɑʧɑk-lɑr	Stem-pl	16
kɑʃe	kaşe	kɑʃe	Stem	16
kɑbɑhɑt	kabahat	kɑbɑhɑt	Stem	16
kɑbileler	kabileler	kɑbile-ler	Stem-pl	16
kɑbinli	kabinli	kɑbin-li	Stem-li	16
kɑbotɑʒ	kabotaj	kɑbotɑʒ	Stem	16
kɑbulu	kabulu	kɑbul-u	Stem-p3s	16
kɑbusɑ	kabusa	kɑbus-ɑ	Stem-dat	16
kɑdɯlɯk	kadılık	kɑdɯ-lɯk	Stem-lik	16
kɑdɯnlɑrmɯzɯn	kadınlarımızın	kɑdɯn-lɑr-mɯz-ɯn	Stem-pl-p1p-gen	16
kɑdɑrdɑ	kadarda	kɑdɑr-dɑ	Stem-loc	16
kɑdemesiz	kademesiz	kɑdeme-siz	Stem-siz	16
kɑdemee	kademeye	kɑdeme-e	Stem-dat	16
kɑfɑdɑ	kafada	kɑfɑ-dɑ	Stem-loc	16
kɑhvɑltɯdɑ	kahvaltıda	kɑhvɑltɯ-dɑ	Stem-loc	16
kɑlɯntɯlɑrɯɯn	kalıntılarının	kɑlɯntɯ-lɑr-ɯ-ɯn	Stem-pl-p3s-gen	16
kɑlɑbilen	kalabilen	kɑl-ɑbil-e-n	Stem-abil-cv:ye-p2s	16
kɑlemiin	kaleminin	kɑlem-i-in	Stem-p3s-gen	16
kɑlkolitik	kalkolitik	kɑlkolitik	Stem	16
kɑlpler	kalpler	kɑlp-ler	Stem-pl	16
kɑmɑn	kaman	kɑmɑ-n	Stem-p2s	16
kɑmbur	kambur	kɑmbur	Stem	16
kɑmerɑdɑn	kameradan	kɑmerɑ-dɑn	Stem-abl	16
kɑmerɑlɑrdɑn	kameralardan	kɑmerɑ-lɑr-dɑn	Stem-pl-abl	16
kɑmpɑnjɑlɑrɯn	kampanyaların	kɑmpɑnjɑ-lɑr-ɯn	Stem-pl-gen	16
kɑnɑmɑlɑrdɑ	kanamalarda	kɑnɑ-mɑ-lɑr-dɑ	Stem-vn:inf-pl-loc	16
kɑnʤɑ	kanca	kɑnʤɑ	Stem	16
kɑntinde	kantinde	kɑntin-de	Stem-loc	16
kɑolinlerin	kaolinlerin	kɑolin-ler-in	Stem-pl-gen	16
kɑpɯp	kapıp	kɑp-ɯp	Stem-cv:ip	16
kɑpɑnɯk	kapanık	kɑpɑnɯk	Stem	16
kɑpsyller	kapsüller	kɑpsyl-ler	Stem-pl	16
kɑrɯɯn	karının	kɑr-ɯ-ɯn	Stem-p3s-gen	16
kɑrʃɯlɑʃmɑmɑ	karşılaşmamak	kɑrʃɯlɑʃ-mɑ-mɑ	Stem-neg-vn:inf	16
kɑrɑʤiɰere	karaciğere	kɑrɑʤiɰer-e	Stem-dat	16
kɑrɑkteristikleriin	karakteristiklerinin	kɑrɑkteristik-ler-i-in	Stem-pl-p3s-gen	16
kɑrɑlɑr	karalar	kɑrɑ-lɑr	Stem-pl	16
kɑrɑrmɯz	kararımız	kɑrɑr-mɯz	Stem-p1p	16
kɑrgɑʃɑɑ	kargaşaya	kɑrgɑʃɑ-ɑ	Stem-dat	16
kɑrijeri	kariyeri	kɑrijer-i	Stem-p3s	16
kɑsɯrgɑ	kasırga	kɑsɯrgɑ	Stem	16
kɑtolikler	katolikler	kɑtolik-ler	Stem-pl	16
kɑtsɑjɯlɯ	katsayılı	kɑtsɑjɯ-lɯ	Stem-li	16
kɑjbetmein	kaybetmenin	kɑjbet-me-in	Stem-vn:inf-gen	16
kɑjgɯɯn	kaygının	kɑjgɯ-ɯn	Stem-gen	16
kɑzɑnmɑɯɯn	kazanmasının	kɑzɑn-mɑ-ɯ-ɯn	Stem-vn:inf-p3s-gen	16
keʧilerde	keçilerde	keʧi-ler-de	Stem-pl-loc	16
kel	kel	kel	Stem	16
kesimli	kesimli	kesim-li	Stem-li	16
kesitiin	kesitinin	kesit-i-in	Stem-p3s-gen	16
ketin	ketin	ket-in	Stem-gen	16
kiler	kiler	kiler	Stem	16
kiliseden	kiliseden	kilise-den	Stem-abl	16
kiliseiin	kilisesinin	kilise-i-in	Stem-p3s-gen	16
kilometrei	kilometresi	kilometre-i	Stem-p3s	16
kirɑlɑɑrɑk	kiralayarak	kirɑ-lɑ-ɑrɑk	Stem-la-cv:erek	16
kiriʃi	kirişi	kiriʃ-i	Stem-p3s	16
kitleri	kitleri	kit-ler-i	Stem-pl-p3s	16
kivi	kivi	kivi	Stem	16
klipleri	klipleri	klip-ler-i	Stem-pl-acc	16
klozet	klozet	klozet	Stem	16
kodlɑnmɑɯ	kodlanması	kod-lɑn-mɑ-ɯ	Stem-lan-vn:inf-p3s	16
kollɑrɑ	kollara	kol-lɑr-ɑ	Stem-pl-dat	16
kolonileri	kolonileri	koloni-ler-i	Stem-pl-p3s	16
koltuklɑrdɑ	koltuklarda	koltuk-lɑr-dɑ	Stem-pl-loc	16
komʃulɑrɯɯn	komşularının	komʃu-lɑr-ɯ-ɯn	Stem-pl-p3s-gen	16
komʃuɑ	komşuya	komʃu-ɑ	Stem-dat	16
kombinɑɯ	kombinası	kombinɑ-ɯ	Stem-p3s	16
kompleksin	kompleksin	kompleks-in	Stem-gen	16
komplekslerin	komplekslerin	kompleks-ler-in	Stem-pl-gen	16
konfederɑsjonun	konfederasyonun	konfederɑsjon-un	Stem-gen	16
konsɑntreleri	konsantreleri	konsɑntre-ler-i	Stem-pl-p3s	16
konumuzɑ	konumuza	konu-muz-ɑ	Stem-p1p-dat	16
koordinɑtørlyk	koordinatörlük	koordinɑtør-lyk	Stem-lik	16
koordinɑtlɑrdɑ	koordinatlarda	koordinɑt-lɑr-dɑ	Stem-pl-loc	16
korteʒ	kortej	korteʒ	Stem	16
korumɑɯɯn	korumasının	korumɑ-ɯ-ɯn	Stem-p3s-gen	16
kotɑsjon	kotasyon	kotɑsjon	Stem	16
kovuʃturmɑɑ	kovuşturmaya	kovuʃtur-mɑ-ɑ	Stem-vn:inf-dat	16
kremi	kremi	krem-i	Stem-p3s	16
kuʃɑktɑ	kuşakta	kuʃɑk-tɑ	Stem-loc	16
kuʤɑklɑmɑ	kucaklamak	kuʤɑk-lɑ-mɑ	Stem-la-vn:inf	16
kullɑnɯmlɯk	kullanımlık	kullɑnɯm-lɯk	Stem-lik	16
kurlɑrɯɯn	kurlarının	kur-lɑr-ɯ-ɯn	Stem-pl-p3s-gen	16
kurnɑzlɯk	kurnazlık	kurnɑz-lɯk	Stem-lik	16
kurslɑrmɯz	kurslarımız	kurs-lɑr-mɯz	Stem-pl-p1p	16
kurstɑn	kurstan	kurs-tɑn	Stem-abl	16
kurtɑrmɑɯn	kurtarmanın	kurtɑr-mɑ-ɯn	Stem-vn:inf-gen	16
kurtɑrmɑɯ	kurtarmayı	kurtɑr-mɑ-ɯ	Stem-vn:inf-acc	16
kuruʤuɑ	kurucuya	kur-uʤu-ɑ	Stem-yici-dat	16
kuruluʃʧɑ	kuruluşça	kuruluʃ-ʧɑ	Stem-ca	16
kuruup	kuruyup	kuru-up	Stem-cv:ip	16
kutlulɑr	kutlular	kut-lu-lɑr	Stem-li-pl	16
kutulɑrɯɯn	kutularının	kutu-lɑr-ɯ-ɯn	Stem-pl-p3s-gen	16
kuvvetlermizin	kuvvetlerimizin	kuvvet-ler-miz-in	Stem-pl-p1p-gen	16
kuvvette	kuvvette	kuvvet-te	Stem-loc	16
kuzgun	kuzgun	kuzgun	Stem	16
løsemili	lösemili	løsemi-li	Stem-li	16
lɑborɑtuɑrmɯz	laboratuarımız	lɑborɑtuɑr-mɯz	Stem-p1p	16
lɑrvɑlɑrɯ	larvaları	lɑrvɑ-lɑr-ɯ	Stem-pl-p3s	16
lɑstikli	lastikli	lɑstik-li	Stem-li	16
limitin	limitin	limit-in	Stem-gen	16
limitlerin	limitlerin	limit-ler-in	Stem-pl-gen	16
lisɑnstɑ	lisansta	lisɑns-tɑ	Stem-loc	16
listenizi	listenizi	liste-niz-i	Stem-p2p-acc	16
lokɑsjon	lokasyon	lokɑsjon	Stem	16
mɯsrɑlɑrɯ	mısraları	mɯsrɑ-lɑr-ɯ	Stem-pl-p3s	16
myʃterinizin	müşterinizin	myʃteri-niz-in	Stem-p2p-gen	16
myʤɑdelemizi	mücadelemizi	myʤɑdele-miz-i	Stem-p1p-acc	16
myʤɑhitler	mücahitler	myʤɑhit-ler	Stem-pl	16
mydyrlyklerden	müdürlüklerden	mydyrlyk-ler-den	Stem-pl-abl	16
myessesee	müesseseye	myessese-e	Stem-dat	16
myftylyk	müftülük	myfty-lyk	Stem-lik	16
mykelleflere	mükelleflere	mykellef-ler-e	Stem-pl-dat	16
mylɑkɑtɑ	mülakata	mylɑkɑt-ɑ	Stem-dat	16
myminler	müminler	mymin-ler	Stem-pl	16
mytekɑbilijet	mütekabiliyet	mytekɑbilijet	Stem	16
mytevellit	mütevellit	mytevellit	Stem	16
myvekkiliin	müvekkilinin	myvekkil-i-in	Stem-p3s-gen	16
myzelerin	müzelerin	myze-ler-in	Stem-pl-gen	16
mɑɰɑzɑmɯzdɑ	mağazamızda	mɑɰɑzɑ-mɯz-dɑ	Stem-p1p-loc	16
mɑdenleriin	madenlerinin	mɑden-ler-i-in	Stem-pl-p3s-gen	16
mɑfjɑɯ	mafyası	mɑfjɑ-ɯ	Stem-p3s	16
mɑijet	maiyet	mɑijet	Stem	16
mɑkinenizi	makinenizi	mɑkine-niz-i	Stem-p2p-acc	16
mɑksɑtlɑrɯ	maksatları	mɑksɑt-lɑr-ɯ	Stem-pl-p3s	16
mɑlijetlerde	maliyetlerde	mɑlijet-ler-de	Stem-pl-loc	16
mɑlkoʧ	malkoç	mɑlkoʧ	Stem	16
mɑlvɑrlɯɰɯ	malvarlığı	mɑlvɑrlɯɰɯ	Stem	16
mɑmyly	mamülü	mɑmyl-y	Stem-p3s	16
mɑniler	maniler	mɑni-ler	Stem-pl	16
mɑntɯksɯz	mantıksız	mɑntɯk-sɯz	Stem-siz	16
mɑrʃɯɯn	marşının	mɑrʃ-ɯ-ɯn	Stem-p3s-gen	16
mɑrɑngozlɑr	marangozlar	mɑrɑngoz-lɑr	Stem-pl	16
mɑrɑtonu	maratonu	mɑrɑton-u	Stem-p3s	16
mɑsɑlɑrdɑ	masalarda	mɑsɑ-lɑr-dɑ	Stem-pl-loc	16
mɑsrɑfɑ	masrafa	mɑsrɑf-ɑ	Stem-dat	16
meʤɑz	mecaz	meʤɑz	Stem	16
mekɑnizmɑɑ	mekanizmaya	mekɑnizmɑ-ɑ	Stem-dat	16
memurin	memurin	memurin	Stem	16
merɑsimi	merasimi	merɑsim-i	Stem-p3s	16
merdivenlere	merdivenlere	merdiven-ler-e	Stem-pl-dat	16
merkezmizi	merkezimizi	merkez-miz-i	Stem-p1p-acc	16
mermerlerin	mermerlerin	mermer-ler-in	Stem-pl-gen	16
mesɑʒdɑn	mesajdan	mesɑʒ-dɑn	Stem-abl	16
mesɑʒlɑrdɑ	mesajlarda	mesɑʒ-lɑr-dɑ	Stem-pl-loc	16
meselelerde	meselelerde	mesele-ler-de	Stem-pl-loc	16
meslektɑʃlɑrɯɯn	meslektaşlarının	meslektɑʃ-lɑr-ɯ-ɯn	Stem-pl-p3s-gen	16
metindeki	metindeki	metin-de-ki	Stem-loc-ki	16
mejɑndɑ	meyanda	mejɑn-dɑ	Stem-loc	16
mejvelerden	meyvelerden	mejve-ler-den	Stem-pl-abl	16
mejvein	meyvenin	mejve-in	Stem-gen	16
mihenk	mihenk	mihenk	Stem	16
miktɑrlɯ	miktarlı	miktɑr-lɯ	Stem-li	16
miktɑrlɑrdɑn	miktarlardan	miktɑr-lɑr-dɑn	Stem-pl-abl	16
minerɑllerden	minerallerden	minerɑl-ler-den	Stem-pl-abl	16
miniklerin	miniklerin	minik-ler-in	Stem-pl-gen	16
mir	mir	mir	Stem	16
mobiljɑdɑ	mobilyada	mobiljɑ-dɑ	Stem-loc	16
modyllere	modüllere	modyl-ler-e	Stem-pl-dat	16
momentleri	momentleri	moment-ler-i	Stem-pl-p3s	16
monitøryn	monitörün	monitør-yn	Stem-gen	16
morluklɑr	morluklar	mor-luk-lɑr	Stem-lik-pl	16
muɑmeleler	muameleler	muɑmele-ler	Stem-pl	16
muɑmelei	muameleyi	muɑmele-i	Stem-acc	16
muʤit	mucit	muʤit	Stem	16
muhɑrebeler	muharebeler	muhɑrebe-ler	Stem-pl	16
muhɑsɑrɑ	muhasara	muhɑsɑrɑ	Stem	16
mutfɑklɑrdɑ	mutfaklarda	mutfɑk-lɑr-dɑ	Stem-pl-loc	16
nøropsikoloʒik	nöropsikolojik	nøropsikoloʒik	Stem	16
nøtronlɑr	nötronlar	nøtron-lɑr	Stem-pl	16
nyve	nüve	nyve	Stem	16
nɑfɑkɑ	nafaka	nɑfɑkɑ	Stem	16
nɑkletme	nakletmek	nɑklet-me	Stem-vn:inf	16
nefeste	nefeste	nefes-te	Stem-loc	16
nemiin	neminin	nem-i-in	Stem-p3s-gen	16
neon	neon	neon	Stem	16
nesneleriin	nesnelerinin	nesne-ler-i-in	Stem-pl-p3s-gen	16
nevresim	nevresim	nevresim	Stem	16
nizɑmnɑmein	nizamnamenin	nizɑmnɑme-in	Stem-gen	16
normɑ	norma	norm-ɑ	Stem-dat	16
odɑklɑnmɑ	odaklanmak	odɑk-lɑn-mɑ	Stem-lan-vn:inf	16
olɑsɯlɯklɑr	olasılıklar	olɑsɯlɯk-lɑr	Stem-pl	16
olimpijɑtlɑrɑ	olimpiyatlara	olimpijɑt-lɑr-ɑ	Stem-pl-dat	16
olmɑɑlɯm	olmayalım	ol-mɑ-ɑ-lɯ-m	Stem-neg-cv:ye-li-p1s	16
onɑrɑn	onaran	onɑr-ɑn	Stem-part:pres	16
onɑjlɑnmɑ	onaylanmak	onɑj-lɑn-mɑ	Stem-lan-vn:inf	16
ondokuznʤu	ondokuzuncu	ondokuz-nʤu	Stem-ord	16
oriʒinɑli	orijinali	oriʒinɑl-i	Stem-p3s	16
ormɑndɑn	ormandan	ormɑn-dɑn	Stem-abl	16
oteldeki	oteldeki	otel-de-ki	Stem-loc-ki	16
otobyslere	otobüslere	otobys-ler-e	Stem-pl-dat	16
otom	otom	oto-m	Stem-p1s	16
ojnɑk	oynak	ojnɑk	Stem	16
pɑʃɑɑ	paşaya	pɑʃɑ-ɑ	Stem-dat	16
pɑdiʃɑhlɑrɯ	padişahları	pɑdiʃɑh-lɑr-ɯ	Stem-pl-p3s	16
pɑletli	paletli	pɑlet-li	Stem-li	16
pɑnʤɑrɯ	pancarı	pɑnʤɑr-ɯ	Stem-p3s	16
pɑnolɑrdɑ	panolarda	pɑno-lɑr-dɑ	Stem-pl-loc	16
pɑrɯldɑɑn	parıldayan	pɑrɯldɑ-ɑn	Stem-part:pres	16
pɑrɑzitin	parazitin	pɑrɑzit-in	Stem-gen	16
pɑre	pare	pɑre	Stem	16
pɑrfymeri	parfümeri	pɑrfymeri	Stem	16
pɑrkeler	parkeler	pɑrke-ler	Stem-pl	16
pɑrkelerin	parkelerin	pɑrke-ler-in	Stem-pl-gen	16
pɑso	paso	pɑso	Stem	16
pɑjlɑʃmɑlɑrɯ	paylaşmaları	pɑjlɑʃ-mɑ-lɑr-ɯ	Stem-vn:inf-pl-p3s	16
pɑzɑrlɑmɑnɯn	pazarlamanın	pɑzɑr-lɑ-mɑ-n-ɯn	Stem-la-vn:inf-p2s-gen	16
peʃi	peşi	peʃ-i	Stem-p3s	16
personeller	personeller	personel-ler	Stem-pl	16
pide	pide	pide	Stem	16
piliʧ	piliç	piliʧ	Stem	16
pilli	pilli	pil-li	Stem-li	16
pijɑle	piyale	pijɑle	Stem	16
plɑkɑlɑrɯn	plakaların	plɑkɑ-lɑr-ɯn	Stem-pl-gen	16
plɑkɑɯn	plakanın	plɑkɑ-ɯn	Stem-gen	16
plɑnlɑɯp	planlayıp	plɑn-lɑ-ɯp	Stem-la-cv:ip	16
poliʧee	poliçeye	poliʧe-e	Stem-dat	16
poligonu	poligonu	poligon-u	Stem-p3s	16
poliklinikler	poliklinikler	poliklinik-ler	Stem-pl	16
polipleri	polipleri	polip-ler-i	Stem-pl-p3s	16
postɑʤɯ	postacı	postɑʤɯ	Stem	16
postɑlɑr	postalar	postɑ-lɑr	Stem-pl	16
postɑne	postane	postɑne	Stem	16
profillerin	profillerin	profil-ler-in	Stem-pl-gen	16
progrɑmlɑrmɯzɯn	programlarımızın	progrɑm-lɑr-mɯz-ɯn	Stem-pl-p1p-gen	16
progrɑmlɑrnɯzɯ	programlarınızı	progrɑm-lɑr-nɯz-ɯ	Stem-pl-p2p-acc	16
proʒeli	projeli	proʒe-li	Stem-li	16
proʒeniz	projeniz	proʒe-niz	Stem-p2p	16
proletɑrjɑ	proletarya	proletɑrjɑ	Stem	16
proteinlere	proteinlere	protein-ler-e	Stem-pl-dat	16
provoke	provoke	provoke	Stem	16
psikoloʒiin	psikolojinin	psikoloʒi-in	Stem-gen	16
psikopɑt	psikopat	psikopɑt	Stem	16
røleler	röleler	røle-ler	Stem-pl	16
rɑdjɑsjondɑn	radyasyondan	rɑdjɑsjon-dɑn	Stem-abl	16
rɑfinerii	rafinerisi	rɑfineri-i	Stem-p3s	16
rɑkɯmɯ	rakımı	rɑkɯm-ɯ	Stem-p3s	16
rɑkɑmlɑrdɑ	rakamlarda	rɑkɑm-lɑr-dɑ	Stem-pl-loc	16
rɑp	rap	rɑp	Stem	16
rehberniz	rehberiniz	rehber-niz	Stem-p2p	16
reʒimde	rejimde	reʒim-de	Stem-loc	16
rektørler	rektörler	rektør-ler	Stem-pl	16
rektørleri	rektörleri	rektør-ler-i	Stem-pl-p3s	16
restorɑnɯ	restoranı	restorɑn-ɯ	Stem-acc	16
revizjonɑ	revizyona	revizjon-ɑ	Stem-dat	16
riʤɑm	ricam	riʤɑ-m	Stem-p1s	16
risknizi	riskinizi	risk-niz-i	Stem-p2p-acc	16
roketler	roketler	roket-ler	Stem-pl	16
rollerin	rollerin	rol-ler-in	Stem-pl-gen	16
rotɑɯn	rotanın	rotɑ-ɯn	Stem-gen	16
sɯɰɯnmɑʤɯ	sığınmacı	sɯɰɯnmɑʤɯ	Stem	16
